administrator
['Jul 26, 2022 @ 15:03:42.147', '10.100.10.222', 'administrator', '4625', 'An account failed to log on.', 'TASI-BACKUP']
['Jul 26, 2022 @ 07:52:17.035', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:14.737', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:12.425', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:10.197', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:07.957', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:05.680', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:03.422', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:52:01.176', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:58.949', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:56.642', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:54.401', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:52.151', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:49.865', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:47.627', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:45.371', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:43.129', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:40.854', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:38.568', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:36.339', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:34.098', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:31.806', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:29.566', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:27.379', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:25.147', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:22.834', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:20.526', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:18.345', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:16.098', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:13.789', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:11.497', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:09.189', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:06.944', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:04.640', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:02.404', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:51:00.114', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:57.865', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:55.573', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:53.347', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:51.035', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:48.796', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:46.553', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:44.248', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:41.941', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:39.697', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:37.497', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:35.260', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:32.963', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:30.656', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:28.425', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:26.239', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:23.992', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:21.694', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:19.506', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:17.273', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:15.084', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:12.843', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:10.590', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:08.254', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:05.942', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:03.633', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:50:01.134', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:58.883', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:56.628', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:54.310', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:52.039', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:49.789', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:47.540', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:45.273', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:43.032', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:40.779', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:38.525', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:36.228', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:34.002', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:31.760', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:29.520', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:27.223', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:24.949', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:22.650', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:20.340', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:18.084', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:15.774', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:13.476', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:11.202', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:09.024', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:06.835', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:04.517', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:49:02.210', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:59.962', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:57.683', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:55.448', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:53.158', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:50.921', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:48.680', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:46.374', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:44.152', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:41.914', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:39.678', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:37.367', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:35.057', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:32.777', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:30.535', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:28.237', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:25.987', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:23.725', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:21.431', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:19.182', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:16.907', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:14.636', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:12.325', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:10.017', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:07.733', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:05.519', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:03.343', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:48:01.048', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:58.747', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:56.425', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:54.157', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:51.924', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:49.681', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:47.419', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:45.124', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:42.876', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:40.623', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:38.316', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:36.080', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:33.842', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:31.525', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:29.278', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:26.984', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:24.735', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:22.430', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:20.149', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:17.834', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:15.512', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:13.268', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:10.981', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:08.679', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:06.443', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:04.141', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:47:01.851', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:59.585', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:57.327', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:55.086', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:52.809', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:50.511', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:48.268', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:45.972', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:43.674', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:41.405', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:39.152', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:36.973', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:34.717', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:32.370', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:30.141', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:27.837', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:25.592', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:23.327', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:21.026', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:18.723', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:16.470', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:14.221', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:11.966', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:09.727', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:07.499', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:05.265', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:02.981', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:46:00.745', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:58.461', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:56.292', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:54.062', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:51.758', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:49.507', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:47.294', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:44.992', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:42.689', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:40.438', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:38.214', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:35.921', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:33.612', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:31.354', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:29.039', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:26.700', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:24.389', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:22.072', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:19.826', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:17.569', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:15.323', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:13.077', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:10.756', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:08.515', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:06.221', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:03.993', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:45:01.725', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:44:59.505', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:44:57.209', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:44:54.970', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
['Jul 26, 2022 @ 07:44:52.683', '128.171.103.65', 'ginger', '4625', 'An account failed to log on.', 'DCON3']
