"@timestamp",message,"geoip.ip","geoip.city_name","geoip.country_name"
"Sep 23, 2022 @ 20:02:35.770","Sep 23 20:02:33 mail postfix/smtps/smtpd[9201]: warning: 96-85-110-193-static.hfc.comcastbusiness.net[96.85.110.193]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 20:02:24.762","Sep 23 20:02:19 mail postfix/smtps/smtpd[9201]: warning: unknown[60.174.231.114]: SASL LOGIN authentication failed: authentication failure","60.174.231.114","-",China
"Sep 23, 2022 @ 19:59:38.587","Sep 23 19:59:36 mail postfix/smtps/smtpd[6881]: warning: fon38-h01-176-129-155-76.dsl.sta.abo.bbox.fr[176.129.155.76]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 19:59:24.580","Sep 23 19:59:24 mail postfix/smtps/smtpd[6881]: warning: unknown[180.232.139.194]: SASL LOGIN authentication failed: authentication failure","180.232.139.194",Binondo,Philippines
"Sep 23, 2022 @ 19:48:19.332","Sep 23 19:48:18 mail postfix/smtps/smtpd[2664]: warning: unknown[200.105.202.226]: SASL LOGIN authentication failed: authentication failure","200.105.202.226","La Paz",Bolivia
"Sep 23, 2022 @ 19:48:05.321","Sep 23 19:48:04 mail postfix/smtps/smtpd[449]: warning: unknown[189.56.190.63]: SASL LOGIN authentication failed: authentication failure","189.56.190.63","-",Brazil
"Sep 23, 2022 @ 19:43:41.629","Sep 23 19:43:38 mail postfix/smtps/smtpd[449]: warning: unknown[61.246.39.218]: SASL LOGIN authentication failed: authentication failure","61.246.39.218",Delhi,India
"Sep 23, 2022 @ 19:43:26.622","Sep 23 19:43:25 mail postfix/smtps/smtpd[22780]: warning: unknown[183.97.255.121]: SASL LOGIN authentication failed: authentication failure","183.97.255.121","Pocheon-si","South Korea"
"Sep 23, 2022 @ 19:43:18.616","Sep 23 19:43:17 mail postfix/smtps/smtpd[449]: warning: unknown[200.223.219.62]: SASL LOGIN authentication failed: authentication failure","200.223.219.62",Salvador,Brazil
"Sep 23, 2022 @ 19:42:56.607","Sep 23 19:42:56 mail postfix/smtps/smtpd[22780]: warning: unknown[43.154.201.173]: SASL LOGIN authentication failed: authentication failure","43.154.201.173",Central,"Hong Kong"
"Sep 23, 2022 @ 19:39:47.369","Sep 23 19:39:46 mail postfix/smtps/smtpd[22780]: warning: 220-133-223-41.hinet-ip.hinet.net[220.133.223.41]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 19:39:45.368","Sep 23 19:39:45 mail postfix/smtps/smtpd[31099]: warning: 023-084-166-205.res.spectrum.com[23.84.166.205]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 19:39:40.340","Sep 23 19:39:38 mail postfix/smtps/smtpd[22780]: warning: unknown[177.200.95.210]: SASL LOGIN authentication failed: authentication failure","177.200.95.210",Fortaleza,Brazil
"Sep 23, 2022 @ 19:39:17.309","Sep 23 19:39:16 mail postfix/smtps/smtpd[22780]: warning: unknown[176.121.213.152]: SASL LOGIN authentication failed: authentication failure","176.121.213.152","-",Russia
"Sep 23, 2022 @ 19:36:56.171","Sep 23 19:36:55 mail postfix/smtps/smtpd[29878]: warning: unknown[223.82.116.251]: SASL LOGIN authentication failed: authentication failure","223.82.116.251","-",China
"Sep 23, 2022 @ 19:36:30.043","Sep 23 19:36:29 mail postfix/smtps/smtpd[22780]: warning: unknown[58.222.223.142]: SASL LOGIN authentication failed: authentication failure","58.222.223.142","-",China
"Sep 23, 2022 @ 19:31:34.975","Sep 23 19:31:32 mail postfix/smtps/smtpd[22780]: warning: unknown[117.71.53.210]: SASL LOGIN authentication failed: authentication failure","117.71.53.210","-",China
"Sep 23, 2022 @ 19:31:18.963","Sep 23 19:31:17 mail postfix/smtps/smtpd[22780]: warning: unknown[183.167.220.109]: SASL LOGIN authentication failed: authentication failure","183.167.220.109","Tianjia'an",China
"Sep 23, 2022 @ 19:25:11.061","Sep 23 19:25:07 mail postfix/smtps/smtpd[23441]: warning: unknown[186.97.150.210]: SASL LOGIN authentication failed: authentication failure","186.97.150.210","Medellín",Colombia
"Sep 23, 2022 @ 19:25:00.055","Sep 23 19:24:58 mail postfix/smtps/smtpd[22780]: warning: unknown[186.235.193.57]: SASL LOGIN authentication failed: authentication failure","186.235.193.57","Ouro Branco",Brazil
"Sep 23, 2022 @ 19:20:27.832","Sep 23 19:20:26 mail postfix/smtps/smtpd[19350]: warning: unknown[151.253.80.163]: SASL LOGIN authentication failed: authentication failure","151.253.80.163",Dubai,"United Arab Emirates"
"Sep 23, 2022 @ 19:20:16.826","Sep 23 19:20:13 mail postfix/smtps/smtpd[21047]: warning: unknown[67.59.76.117]: SASL LOGIN authentication failed: authentication failure","67.59.76.117",Redmond,"United States"
"Sep 23, 2022 @ 19:19:38.806","Sep 23 19:19:37 mail postfix/smtps/smtpd[19350]: warning: unknown[70.115.18.75]: SASL LOGIN authentication failed: authentication failure","70.115.18.75",Austin,"United States"
"Sep 23, 2022 @ 19:19:28.800","Sep 23 19:19:25 mail postfix/smtps/smtpd[19350]: warning: unknown[103.107.85.115]: SASL LOGIN authentication failed: authentication failure","103.107.85.115",Yogyakarta,Indonesia
"Sep 23, 2022 @ 19:16:24.763","Sep 23 19:16:23 mail postfix/smtps/smtpd[19350]: warning: unknown[223.71.139.23]: SASL LOGIN authentication failed: authentication failure","223.71.139.23","-",China
"Sep 23, 2022 @ 19:16:09.756","Sep 23 19:16:08 mail postfix/smtps/smtpd[19350]: warning: unknown[62.201.253.47]: SASL LOGIN authentication failed: authentication failure","62.201.253.47",Sulaymaniyah,Iraq
"Sep 23, 2022 @ 19:13:55.584","Sep 23 19:13:54 mail postfix/smtps/smtpd[14238]: warning: unknown[93.159.233.254]: SASL LOGIN authentication failed: authentication failure","93.159.233.254",Moscow,Russia
"Sep 23, 2022 @ 19:13:31.572","Sep 23 19:13:30 mail postfix/smtps/smtpd[14238]: warning: 74-194-3-5.lkchcmtk01.com.dyn.suddenlink.net[74.194.3.5]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 19:02:05.760","Sep 23 19:02:04 mail postfix/smtps/smtpd[12686]: warning: unknown[183.230.162.194]: SASL LOGIN authentication failed: authentication failure","183.230.162.194",Chongqing,China
"Sep 23, 2022 @ 19:01:31.744","Sep 23 19:01:29 mail postfix/smtps/smtpd[12686]: warning: unknown[82.208.167.209]: SASL LOGIN authentication failed: authentication failure","82.208.167.209",Iasi,Romania
"Sep 23, 2022 @ 18:57:24.341","Sep 23 18:57:22 mail postfix/smtps/smtpd[7854]: warning: unknown[187.50.136.210]: SASL LOGIN authentication failed: authentication failure","187.50.136.210",Campinas,Brazil
"Sep 23, 2022 @ 18:57:07.328","Sep 23 18:57:05 mail postfix/smtps/smtpd[10585]: warning: unknown[110.7.40.122]: SASL LOGIN authentication failed: authentication failure","110.7.40.122","-",China
"Sep 23, 2022 @ 18:56:35.973","Sep 23 18:56:35 mail postfix/smtps/smtpd[10585]: warning: unknown[37.157.31.15]: SASL LOGIN authentication failed: authentication failure","37.157.31.15",Moscow,Russia
"Sep 23, 2022 @ 18:56:17.968","Sep 23 18:56:17 mail postfix/smtps/smtpd[7854]: warning: unknown[180.169.160.221]: SASL LOGIN authentication failed: authentication failure","180.169.160.221",Shanghai,China
"Sep 23, 2022 @ 18:53:11.381","Sep 23 18:53:04 mail postfix/smtps/smtpd[19685]: warning: unknown[61.171.89.48]: SASL LOGIN authentication failed: authentication failure","61.171.89.48","-",China
"Sep 23, 2022 @ 18:52:48.361","Sep 23 18:52:47 mail postfix/smtps/smtpd[19685]: warning: unknown[102.164.206.138]: SASL LOGIN authentication failed: authentication failure","102.164.206.138",Nigel,"South Africa"
"Sep 23, 2022 @ 18:50:26.871","Sep 23 18:50:19 mail postfix/smtps/smtpd[19685]: warning: unknown[111.26.196.121]: SASL LOGIN authentication failed: authentication failure","111.26.196.121","-",China
"Sep 23, 2022 @ 18:50:03.842","Sep 23 18:50:03 mail postfix/smtps/smtpd[19685]: warning: unknown[212.35.71.107]: SASL LOGIN authentication failed: authentication failure","212.35.71.107",Amman,Jordan
"Sep 23, 2022 @ 18:38:29.432","Sep 23 18:38:27 mail postfix/smtps/smtpd[19685]: warning: unknown[201.173.205.148]: SASL LOGIN authentication failed: authentication failure","201.173.205.148",Monterrey,Mexico
"Sep 23, 2022 @ 18:38:18.428","Sep 23 18:38:15 mail postfix/smtps/smtpd[19685]: warning: unknown[36.112.91.214]: SASL LOGIN authentication failed: authentication failure","36.112.91.214",Beijing,China
"Sep 23, 2022 @ 18:34:12.842","Sep 23 18:34:12 mail postfix/smtps/smtpd[19685]: warning: unknown[183.182.107.110]: SASL LOGIN authentication failed: authentication failure","183.182.107.110",Vientiane,Laos
"Sep 23, 2022 @ 18:34:00.804","Sep 23 18:33:58 mail postfix/smtps/smtpd[19685]: warning: unknown[182.70.252.81]: SASL LOGIN authentication failed: authentication failure","182.70.252.81",Indore,India
"Sep 23, 2022 @ 18:33:28.388","Sep 23 18:33:26 mail postfix/smtps/smtpd[19685]: warning: unknown[182.77.48.90]: SASL LOGIN authentication failed: authentication failure","182.77.48.90",Sonipat,India
"Sep 23, 2022 @ 18:33:14.383","Sep 23 18:33:12 mail postfix/smtps/smtpd[19685]: warning: unknown[41.170.13.250]: SASL LOGIN authentication failed: authentication failure","41.170.13.250",Pretoria,"South Africa"
"Sep 23, 2022 @ 18:30:05.285","Sep 23 18:30:04 mail postfix/smtps/smtpd[19685]: warning: unknown[45.221.11.28]: SASL LOGIN authentication failed: authentication failure","45.221.11.28",Kampala,Uganda
"Sep 23, 2022 @ 18:29:51.263","Sep 23 18:29:49 mail postfix/smtps/smtpd[19685]: warning: unknown[122.187.225.37]: SASL LOGIN authentication failed: authentication failure","122.187.225.37","-",India
"Sep 23, 2022 @ 18:27:56.090","Sep 23 18:27:55 mail postfix/smtps/smtpd[19685]: warning: unknown[103.143.190.124]: SASL LOGIN authentication failed: authentication failure","103.143.190.124","-",Indonesia
"Sep 23, 2022 @ 18:27:20.747","Sep 23 18:27:18 mail postfix/smtps/smtpd[19685]: warning: unknown[119.39.191.221]: SASL LOGIN authentication failed: authentication failure","119.39.191.221",Xiangxiang,China
"Sep 23, 2022 @ 18:16:20.700","Sep 23 18:16:18 mail postfix/smtps/smtpd[22150]: warning: unknown[223.84.251.73]: SASL LOGIN authentication failed: authentication failure","223.84.251.73","-",China
"Sep 23, 2022 @ 18:16:05.689","Sep 23 18:16:05 mail postfix/smtps/smtpd[19685]: warning: unknown[103.141.74.109]: SASL LOGIN authentication failed: authentication failure","103.141.74.109",Padang,Indonesia
"Sep 23, 2022 @ 18:15:43.681","Sep 23 18:15:42 mail postfix/smtps/smtpd[19685]: warning: unknown[45.221.11.71]: SASL LOGIN authentication failed: authentication failure","45.221.11.71",Kampala,Uganda
"Sep 23, 2022 @ 18:15:29.470","Sep 23 18:15:23 mail postfix/smtps/smtpd[19685]: warning: unknown[58.241.51.18]: SASL LOGIN authentication failed: authentication failure","58.241.51.18",Changzhou,China
"Sep 23, 2022 @ 18:11:29.825","Sep 23 18:11:21 mail postfix/smtps/smtpd[19685]: warning: unknown[65.48.228.195]: SASL LOGIN authentication failed: authentication failure","65.48.228.195",Questelles,"St Vincent and Grenadines"
"Sep 23, 2022 @ 18:10:53.512","Sep 23 18:10:52 mail postfix/smtps/smtpd[19685]: warning: c-24-4-210-218.hsd1.ca.comcast.net[24.4.210.218]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 18:10:49.508","Sep 23 18:10:48 mail postfix/smtps/smtpd[16175]: warning: 047-006-047-059.res.spectrum.com[47.6.47.59]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 18:10:10.493","Sep 23 18:10:06 mail postfix/smtps/smtpd[16175]: warning: unknown[61.160.105.66]: SASL LOGIN authentication failed: authentication failure","61.160.105.66","-",China
"Sep 23, 2022 @ 18:07:14.151","Sep 23 18:07:06 mail postfix/smtps/smtpd[17712]: warning: unknown[190.128.173.170]: SASL LOGIN authentication failed: authentication failure","190.128.173.170","Asunción",Paraguay
"Sep 23, 2022 @ 18:06:56.146","Sep 23 18:06:52 mail postfix/smtps/smtpd[16175]: warning: unknown[164.160.180.226]: SASL LOGIN authentication failed: authentication failure","164.160.180.226",Nelspruit,"South Africa"
"Sep 23, 2022 @ 18:04:44.526","Sep 23 18:04:43 mail postfix/smtps/smtpd[10089]: warning: unknown[122.187.225.35]: SASL LOGIN authentication failed: authentication failure","122.187.225.35","-",India
"Sep 23, 2022 @ 18:04:20.518","Sep 23 18:04:17 mail postfix/smtps/smtpd[16175]: warning: unknown[61.184.73.151]: SASL LOGIN authentication failed: authentication failure","61.184.73.151","-",China
"Sep 23, 2022 @ 17:53:17.099","Sep 23 17:53:16 mail postfix/smtps/smtpd[7735]: warning: unknown[85.175.105.122]: SASL LOGIN authentication failed: authentication failure","85.175.105.122","-",Russia
"Sep 23, 2022 @ 17:52:57.464","Sep 23 17:52:56 mail postfix/smtps/smtpd[10089]: warning: 171-100-8-186.static.asianet.co.th[171.100.8.186]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 17:52:51.336","Sep 23 17:52:43 mail postfix/smtps/smtpd[7735]: warning: unknown[58.186.75.96]: SASL LOGIN authentication failed: authentication failure","58.186.75.96","Da Nang",Vietnam
"Sep 23, 2022 @ 17:52:19.085","Sep 23 17:52:17 mail postfix/smtps/smtpd[10089]: warning: unknown[31.28.253.144]: SASL LOGIN authentication failed: authentication failure","31.28.253.144",Sevastopol,Ukraine
"Sep 23, 2022 @ 17:48:29.501","Sep 23 17:48:25 mail postfix/smtps/smtpd[3900]: warning: unknown[58.26.88.2]: SASL LOGIN authentication failed: authentication failure","58.26.88.2","Kuala Lumpur",Malaysia
"Sep 23, 2022 @ 17:47:54.493","Sep 23 17:47:54 mail postfix/smtps/smtpd[7735]: warning: unknown[45.221.8.235]: SASL LOGIN authentication failed: authentication failure","45.221.8.235",Kampala,Uganda
"Sep 23, 2022 @ 17:47:41.487","Sep 23 17:47:40 mail postfix/smtps/smtpd[3900]: warning: unknown[223.84.17.15]: SASL LOGIN authentication failed: authentication failure","223.84.17.15","-",China
"Sep 23, 2022 @ 17:47:19.467","Sep 23 17:47:17 mail postfix/smtps/smtpd[3900]: warning: unknown[45.162.183.160]: SASL LOGIN authentication failed: authentication failure","45.162.183.160","Santa Rita",Paraguay
"Sep 23, 2022 @ 17:44:26.406","Sep 23 17:44:25 mail postfix/smtps/smtpd[3900]: warning: unknown[46.44.1.48]: SASL LOGIN authentication failed: authentication failure","46.44.1.48",Fryazino,Russia
"Sep 23, 2022 @ 17:44:18.399","Sep 23 17:44:10 mail postfix/smtps/smtpd[5876]: warning: unknown[59.53.182.95]: SASL LOGIN authentication failed: authentication failure","59.53.182.95",Nanchang,China
"Sep 23, 2022 @ 17:41:34.291","Sep 23 17:41:33 mail postfix/smtps/smtpd[1937]: warning: unknown[59.7.163.102]: SASL LOGIN authentication failed: authentication failure","59.7.163.102",Namyangju,"South Korea"
"Sep 23, 2022 @ 17:40:59.162","Sep 23 17:40:58 mail postfix/smtps/smtpd[1937]: warning: unknown[157.130.207.26]: SASL LOGIN authentication failed: authentication failure","157.130.207.26",Reno,"United States"
"Sep 23, 2022 @ 17:29:21.122","Sep 23 17:29:20 mail postfix/smtps/smtpd[23982]: warning: unknown[182.91.12.228]: SASL LOGIN authentication failed: authentication failure","182.91.12.228",Guilin,China
"Sep 23, 2022 @ 17:29:09.110","Sep 23 17:29:08 mail postfix/smtps/smtpd[28814]: warning: unknown[5.172.10.64]: SASL LOGIN authentication failed: authentication failure","5.172.10.64",Yekaterinburg,Russia
"Sep 23, 2022 @ 17:25:37.885","Sep 23 17:25:37 mail postfix/smtps/smtpd[28465]: warning: unknown[183.97.167.212]: SASL LOGIN authentication failed: authentication failure","183.97.167.212","Goyang-si","South Korea"
"Sep 23, 2022 @ 17:25:05.874","Sep 23 17:25:05 mail postfix/smtps/smtpd[28465]: warning: unknown[36.66.102.245]: SASL LOGIN authentication failed: authentication failure","36.66.102.245",Jakarta,Indonesia
"Sep 23, 2022 @ 17:24:21.599","Sep 23 17:24:20 mail postfix/smtps/smtpd[23982]: warning: cpe-104-229-65-192.twcny.res.rr.com[104.229.65.192]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 17:24:10.587","Sep 23 17:24:08 mail postfix/smtps/smtpd[23982]: warning: customer-200-236-45-13.luxfibra.net.br[45.236.200.13]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 17:21:12.502","Sep 23 17:21:11 mail postfix/smtps/smtpd[23982]: warning: unknown[175.229.81.112]: SASL LOGIN authentication failed: authentication failure","175.229.81.112","-","South Korea"
"Sep 23, 2022 @ 17:21:00.465","Sep 23 17:20:59 mail postfix/smtps/smtpd[23982]: warning: unknown[2.55.102.128]: SASL LOGIN authentication failed: authentication failure","2.55.102.128","Tel Aviv",Israel
"Sep 23, 2022 @ 17:18:15.247","Sep 23 17:18:14 mail postfix/smtps/smtpd[25210]: warning: unknown[211.248.4.157]: SASL LOGIN authentication failed: authentication failure","211.248.4.157","Gyeonggi-do","South Korea"
"Sep 23, 2022 @ 17:18:03.199","Sep 23 17:18:00 mail postfix/smtps/smtpd[23982]: warning: host-85-237-40-115.dsl.sura.ru[85.237.40.115]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 17:06:33.910","Sep 23 17:06:26 mail postfix/smtps/smtpd[17669]: warning: unknown[112.5.18.142]: SASL LOGIN authentication failed: authentication failure","112.5.18.142",Xiamen,China
"Sep 23, 2022 @ 17:06:10.893","Sep 23 17:06:10 mail postfix/smtps/smtpd[17669]: warning: unknown[46.147.240.204]: SASL LOGIN authentication failed: authentication failure","46.147.240.204","Rostov-on-Don",Russia
"Sep 23, 2022 @ 17:02:28.394","Sep 23 17:02:25 mail postfix/smtps/smtpd[17668]: warning: unknown[78.83.133.94]: SASL LOGIN authentication failed: authentication failure","78.83.133.94",Topolovgrad,Bulgaria
"Sep 23, 2022 @ 17:02:02.360","Sep 23 17:02:01 mail postfix/smtps/smtpd[17669]: warning: unknown[217.72.125.206]: SASL LOGIN authentication failed: authentication failure","217.72.125.206","Berwick-Upon-Tweed","United Kingdom"
"Sep 23, 2022 @ 17:01:57.354","Sep 23 17:01:56 mail postfix/smtps/smtpd[17668]: warning: 85.219.119.252.dyn.user.ono.com[85.219.119.252]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 17:01:23.332","Sep 23 17:01:17 mail postfix/smtps/smtpd[12058]: warning: unknown[81.199.128.107]: SASL LOGIN authentication failed: authentication failure","81.199.128.107",London,"United Kingdom"
"Sep 23, 2022 @ 16:58:19.031","Sep 23 16:58:12 mail postfix/smtps/smtpd[12058]: warning: unknown[219.146.247.106]: SASL LOGIN authentication failed: authentication failure","219.146.247.106","-",China
"Sep 23, 2022 @ 16:57:53.418","Sep 23 16:57:53 mail postfix/smtps/smtpd[12058]: warning: cpe-104-33-199-93.socal.res.rr.com[104.33.199.93]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 16:55:20.078","Sep 23 16:55:19 mail postfix/smtps/smtpd[12058]: warning: unknown[117.4.200.173]: SASL LOGIN authentication failed: authentication failure","117.4.200.173","-",Vietnam
"Sep 23, 2022 @ 16:55:03.617","Sep 23 16:55:02 mail postfix/smtps/smtpd[12058]: warning: cpe-98-10-121-246.rochester.res.rr.com[98.10.121.246]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 16:49:49.983","Sep 23 16:49:48 mail postfix/smtps/smtpd[10259]: warning: unknown[122.170.97.185]: SASL LOGIN authentication failed: authentication failure","122.170.97.185",Ahmedabad,India
"Sep 23, 2022 @ 16:49:42.978","Sep 23 16:49:39 mail postfix/smtps/smtpd[10259]: warning: unknown[70.125.34.127]: SASL LOGIN authentication failed: authentication failure","70.125.34.127","St. Petersburg","United States"
"Sep 23, 2022 @ 16:43:36.454","Sep 23 16:43:35 mail postfix/smtps/smtpd[7294]: warning: c-24-128-201-33.hsd1.mi.comcast.net[24.128.201.33]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 16:43:20.450","Sep 23 16:43:18 mail postfix/smtps/smtpd[7294]: warning: unknown[112.221.29.181]: SASL LOGIN authentication failed: authentication failure","112.221.29.181","Jongno-gu","South Korea"
"Sep 23, 2022 @ 16:39:09.492","Sep 23 16:39:07 mail postfix/smtps/smtpd[24854]: warning: unknown[182.70.116.222]: SASL LOGIN authentication failed: authentication failure","182.70.116.222",Mumbai,India
"Sep 23, 2022 @ 16:38:55.486","Sep 23 16:38:52 mail postfix/smtps/smtpd[24854]: warning: 220-130-227-61.hinet-ip.hinet.net[220.130.227.61]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 16:38:35.474","Sep 23 16:38:32 mail postfix/smtps/smtpd[24854]: warning: 122.212-142-159.static.clientes.euskaltel.es[212.142.159.122]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 16:38:22.468","Sep 23 16:38:20 mail postfix/smtps/smtpd[24854]: warning: 072-190-053-219.res.spectrum.com[72.190.53.219]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 16:35:08.128","Sep 23 16:35:05 mail postfix/smtps/smtpd[24854]: warning: static-71-174-115-79.bstnma.fios.verizon.net[71.174.115.79]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 16:34:53.880","Sep 23 16:34:51 mail postfix/smtps/smtpd[24854]: warning: unknown[78.25.84.51]: SASL LOGIN authentication failed: authentication failure","78.25.84.51","-",Russia
"Sep 23, 2022 @ 16:32:55.588","Sep 23 16:32:54 mail postfix/smtps/smtpd[2656]: warning: unknown[89.129.222.106]: SASL LOGIN authentication failed: authentication failure","89.129.222.106",Madrid,Spain
"Sep 23, 2022 @ 16:32:12.562","Sep 23 16:32:09 mail postfix/smtps/smtpd[24854]: warning: c-73-0-51-249.hsd1.fl.comcast.net[73.0.51.249]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 16:20:23.876","Sep 23 16:20:21 mail postfix/smtps/smtpd[28176]: warning: unknown[2.135.39.115]: SASL LOGIN authentication failed: authentication failure","2.135.39.115","Nur-Sultan",Kazakhstan
"Sep 23, 2022 @ 16:20:11.865","Sep 23 16:20:07 mail postfix/smtps/smtpd[24854]: warning: unknown[200.37.98.147]: SASL LOGIN authentication failed: authentication failure","200.37.98.147",Lima,Peru
"Sep 23, 2022 @ 16:16:04.924","Sep 23 16:16:04 mail postfix/smtps/smtpd[24307]: warning: ip72-194-18-1.sb.sd.cox.net[72.194.18.1]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 16:15:49.770","Sep 23 16:15:49 mail postfix/smtps/smtpd[24854]: warning: 042.36.246.220.static.netvigator.com[220.246.36.42]: SASL LOGIN authentication failed: authentication failure","-","-","-"
"Sep 23, 2022 @ 16:15:24.995","Sep 23 16:15:23 mail postfix/smtps/smtpd[24854]: warning: unknown[91.235.72.10]: SASL LOGIN authentication failed: authentication failure","91.235.72.10","-",Russia
"Sep 23, 2022 @ 16:15:03.990","Sep 23 16:15:01 mail postfix/smtps/smtpd[24307]: warning: static-201-151-247-20.alestra.net.mx[201.151.247.20]: SASL LOGIN authentication failed: authentication failure","-","-","-"
